"METRIC","SC","AC_5","Pw","Pr","Pj","Sb","Sw","Bf","Ce","La","He","Po","Bw","Mh","OH"
"BA",1,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",1,20,26.20,22.30,21.90,9.60,9.90,9.60,6.70,6.70,11.80,15.70,9.90,11.80,11.80
"BA",1,25,31.30,26.90,23.90,14.40,14.80,14.40,10.10,10.10,13.70,18.90,13.20,13.70,13.70
"BA",1,30,34.10,31.00,25.20,18.50,19.10,18.50,13.00,13.00,15.50,21.70,16.20,15.50,15.50
"BA",1,35,34.30,34.30,26.10,21.80,22.50,21.80,15.30,15.30,17.20,24.30,18.90,17.20,17.20
"BA",1,40,37.60,37.00,26.60,24.70,25.40,24.70,17.30,17.30,18.80,26.80,21.20,18.80,18.80
"BA",1,45,38.70,38.50,27.00,27.50,28.30,27.50,19.30,19.30,20.20,28.70,22.90,20.20,20.20
"BA",1,50,39.60,39.70,27.20,29.40,30.30,29.40,20.60,20.60,21.40,30.50,24.50,21.40,21.40
"BA",1,55,40.30,40.70,27.30,31.40,32.30,31.40,22.00,22.00,22.80,31.90,25.60,22.80,22.80
"BA",1,60,40.90,41.40,27.40,32.80,33.80,32.80,23.00,23.00,24.00,33.20,26.50,24.00,24.00
"BA",1,65,41.30,42.00,27.40,34.10,35.10,34.10,23.90,23.90,25.20,34.20,27.20,25.20,25.20
"BA",1,70,41.60,42.50,27.30,35.20,36.30,35.20,24.60,24.60,26.30,35.00,27.70,26.30,26.30
"BA",1,75,41.90,43.00,27.30,36.10,37.20,36.10,25.30,25.30,27.30,35.70,28.00,27.30,27.30
"BA",1,80,42.10,43.40,27.30,36.90,38.00,36.90,25.80,25.80,28.30,36.10,28.10,28.30,28.30
"BA",1,85,42.20,43.70,27.20,37.60,38.70,37.60,26.30,26.30,29.30,36.50,28.20,29.30,29.30
"BA",1,90,42.30,44.00,27.20,38.20,39.30,38.20,26.70,26.70,30.10,36.60,28.30,30.10,30.10
"BA",1,95,42.50,44.10,27.10,38.70,39.90,38.70,27.10,27.10,31.00,36.80,28.30,31.00,31.00
"BA",1,100,42.60,44.20,27.00,39.20,40.40,39.20,27.40,27.40,31.80,37.00,28.30,31.80,31.80
"BA",1,105,42.80,44.40,26.70,39.60,40.80,39.60,27.70,27.70,32.50,36.00,28.30,32.50,32.50
"BA",1,110,42.90,44.50,26.40,39.80,41.00,39.80,27.90,27.90,33.20,35.00,28.00,33.20,33.20
"BA",1,115,43.00,44.60,26.10,40.20,41.40,40.20,28.10,28.10,33.80,34.00,27.70,33.80,33.80
"BA",1,120,43.10,44.70,25.80,40.40,41.60,40.40,28.30,28.30,34.40,33.00,27.40,34.40,34.40
"BA",1,125,43.20,44.80,25.50,40.50,41.70,40.50,28.40,28.40,35.00,32.00,27.10,35.00,35.00
"BA",1,130,43.30,44.90,25.20,40.60,41.80,40.60,28.40,28.40,35.50,31.00,26.80,35.50,35.50
"BA",1,135,43.40,45.00,24.90,40.70,41.90,40.70,28.50,28.50,36.00,30.00,26.50,36.00,36.00
"BA",1,140,43.50,45.10,24.60,40.50,41.70,40.50,28.50,28.50,36.50,29.00,26.20,36.50,36.50
"BA",1,145,43.60,45.20,24.30,40.30,41.50,40.30,28.30,28.30,36.90,28.00,25.90,36.90,36.90
"BA",1,150,43.70,45.30,24.00,40.10,41.30,40.10,28.10,28.10,37.30,27.00,25.60,37.30,37.30
"BA",1,155,43.80,45.30,23.70,39.90,41.10,39.90,27.90,27.90,37.60,26.00,25.30,37.60,37.60
"BA",1,160,43.80,45.30,23.40,39.70,40.90,39.70,27.70,27.70,38.00,25.00,25.00,38.00,38.00
"BA",1,165,43.90,45.30,23.10,39.50,40.70,39.50,27.50,27.50,38.30,24.00,24.70,38.30,38.30
"BA",1,170,44.00,45.30,22.80,39.30,40.50,39.30,27.40,27.40,38.60,23.00,24.40,38.60,38.60
"BA",1,175,44.20,45.30,22.50,39.10,40.30,39.10,27.20,27.20,38.80,22.00,24.10,38.80,38.80
"BA",1,180,44.20,45.30,22.20,38.90,40.10,38.90,27.00,27.00,39.00,21.00,23.80,39.00,39.00
"BA",1,185,44.30,45.30,21.90,38.70,39.90,38.70,26.80,26.80,39.20,20.00,23.50,39.20,39.20
"BA",1,190,44.40,45.30,21.60,38.50,39.70,38.50,26.60,26.60,39.40,19.00,23.20,39.40,39.40
"BA",1,195,44.40,45.30,21.30,38.30,39.40,38.30,26.40,26.40,39.40,18.00,22.90,39.40,39.40
"BA",1,200,44.40,45.30,21.00,38.10,39.20,38.10,26.20,26.20,39.40,17.00,22.60,39.40,39.40
"BA",1,205,44.40,45.30,20.70,37.90,39.00,37.90,26.00,26.00,39.40,16.00,22.30,39.40,39.40
