METRIC,SC,AC_5,Pw,Pr,Pj,Sb,Sw,Bf,Ce,La,He,Po,Bw,Mh,OH
BA,1,50,39.6,39.7,27.2,29.4,30.3,29.4,20.6,20.6,21.4,30.5,24.5,21.4,21.4
BA,1,55,40.3,40.7,27.3,31.4,32.3,31.4,22,22,22.8,31.9,25.6,22.8,22.8
BA,1,60,40.9,41.4,27.4,32.8,33.8,32.8,23,23,24,33.2,26.5,24,24
BA,1,65,41.3,42,27.4,34.1,35.1,34.1,23.9,23.9,25.2,34.2,27.2,25.2,25.2
BA,1,70,41.6,42.5,27.3,35.2,36.3,35.2,24.6,24.6,26.3,35,27.7,26.3,26.3
BA,1,75,41.9,43,27.3,36.1,37.2,36.1,25.3,25.3,27.3,35.7,28,27.3,27.3
BA,1,80,42.1,43.4,27.3,36.9,38,36.9,25.8,25.8,28.3,36.1,28.1,28.3,28.3
BA,1,85,42.2,43.7,27.2,37.6,38.7,37.6,26.3,26.3,29.3,36.5,28.2,29.3,29.3
BA,1,90,42.3,44,27.2,38.2,39.3,38.2,26.7,26.7,30.1,36.6,28.3,30.1,30.1
BA,1,95,42.5,44.1,27.1,38.7,39.9,38.7,27.1,27.1,31,36.8,28.3,31,31
BA,1,100,42.6,44.2,27,39.2,40.4,39.2,27.4,27.4,31.8,37,28.3,31.8,31.8
BA,1,105,42.8,44.4,26.7,39.6,40.8,39.6,27.7,27.7,32.5,36,28.3,32.5,32.5
BA,1,110,42.9,44.5,26.4,39.8,41,39.8,27.9,27.9,33.2,35,28,33.2,33.2
BA,1,115,43,44.6,26.1,40.2,41.4,40.2,28.1,28.1,33.8,34,27.7,33.8,33.8
BA,1,120,43.1,44.7,25.8,40.4,41.6,40.4,28.3,28.3,34.4,33,27.4,34.4,34.4
BA,1,125,43.2,44.8,25.5,40.5,41.7,40.5,28.4,28.4,35,32,27.1,35,35
BA,1,130,43.3,44.9,25.2,40.6,41.8,40.6,28.4,28.4,35.5,31,26.8,35.5,35.5
BA,1,135,43.4,45,24.9,40.7,41.9,40.7,28.5,28.5,36,30,26.5,36,36
BA,1,140,43.5,45.1,24.6,40.5,41.7,40.5,28.5,28.5,36.5,29,26.2,36.5,36.5
BA,1,145,43.6,45.2,24.3,40.3,41.5,40.3,28.3,28.3,36.9,28,25.9,36.9,36.9
BA,1,150,43.7,45.3,24,40.1,41.3,40.1,28.1,28.1,37.3,27,25.6,37.3,37.3
BA,1,155,43.8,45.3,23.7,39.9,41.1,39.9,27.9,27.9,37.6,26,25.3,37.6,37.6
BA,1,160,43.8,45.3,23.4,39.7,40.9,39.7,27.7,27.7,38,25,25,38,38
BA,1,165,43.9,45.3,23.1,39.5,40.7,39.5,27.5,27.5,38.3,24,24.7,38.3,38.3
BA,1,170,44,45.3,22.8,39.3,40.5,39.3,27.4,27.4,38.6,23,24.4,38.6,38.6
BA,1,175,44.2,45.3,22.5,39.1,40.3,39.1,27.2,27.2,38.8,22,24.1,38.8,38.8
BA,1,180,44.2,45.3,22.2,38.9,40.1,38.9,27,27,39,21,23.8,39,39
BA,1,185,44.3,45.3,21.9,38.7,39.9,38.7,26.8,26.8,39.2,20,23.5,39.2,39.2
BA,1,190,44.4,45.3,21.6,38.5,39.7,38.5,26.6,26.6,39.4,19,23.2,39.4,39.4
BA,1,195,44.4,45.3,21.3,38.3,39.4,38.3,26.4,26.4,39.4,18,22.9,39.4,39.4
BA,1,200,44.4,45.3,21,38.1,39.2,38.1,26.2,26.2,39.4,17,22.6,39.4,39.4
BA,1,205,44.4,45.3,20.7,37.9,39,37.9,26,26,39.4,16,22.3,39.4,39.4
BA,1,210,44.4,45.3,20.4,37.7,38.8,37.7,25.8,25.8,39.4,15,22,39.4,39.4
BA,1,215,44.4,45.3,20.1,37.5,38.6,37.5,25.6,25.6,39.4,14,21.7,39.4,39.4
BA,1,220,44.4,45.3,19.8,37.3,38.4,37.3,25.5,25.5,39.4,13,21.4,39.4,39.4
BA,1,225,44.4,45.3,19.5,37.1,38.2,37.1,25.3,25.3,39.4,12,21.1,39.4,39.4
BA,1,230,44.4,45.3,19.2,36.9,38,36.9,25.1,25.1,39.4,11,20.8,39.4,39.4
BA,1,235,44.4,45.3,18.9,36.7,37.8,36.7,24.9,24.9,39.4,10,20.5,39.4,39.4
BA,1,240,44.4,45.3,18.6,36.5,37.6,36.5,24.7,24.7,39.4,9,20.2,39.4,39.4
BA,1,245,44.4,45.3,18.6,36.5,37.6,36.5,24.7,24.7,39.4,9,20.2,39.4,39.4
BA,1,250,44.4,45.3,18.6,36.5,37.6,36.5,24.7,24.7,39.4,9,20.2,39.4,39.4
BA,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,2,15,19.2,16.3,16.7,6.4,6.6,6.4,4.5,4.5,7.6,14.5,7.6,7.6,7.6
BA,2,20,24.1,21.8,19.5,10,10.3,10,7,7,9.6,17.7,10.8,9.6,9.6
BA,2,25,27.6,26.8,31.4,13.3,13.7,13.3,9.3,9.3,11.5,20.7,13.7,11.5,11.5
BA,2,30,30.3,31,22.7,16.2,16.7,16.2,11.3,11.3,13.2,23.2,16.2,13.2,13.2
BA,2,35,32.3,34.4,23.7,18.7,19.3,18.7,13.1,13.1,14.8,25.4,18.5,14.8,14.8
BA,2,40,33.8,36.5,24.4,21,21.6,21,14.7,14.7,16.3,27.1,20.2,16.3,16.3
BA,2,45,35,38.1,24.9,23.1,23.8,23.1,16.2,16.2,17.7,28.6,21.4,17.7,17.7
BA,2,50,36,39,25.2,25,25.8,25,17.5,17.5,18.9,30,22.2,18.9,18.9
BA,2,55,36.8,39.7,25.4,26.8,27.6,26.8,18.8,18.8,20.1,31,22.9,20.1,20.1
BA,2,60,37.4,40.2,25.6,28.2,29,28.2,19.7,19.7,21.3,32,23.3,21.3,21.3
BA,2,65,37.8,40.9,25.7,29.7,30.6,29.7,20.8,20.8,22.3,32.8,23.6,22.3,22.3
BA,2,70,38.2,41.2,25.8,31,31.9,31,21.7,21.7,23.3,33.4,23.8,23.3,23.3
BA,2,75,38.5,41.4,25.9,32.2,33.2,32.2,22.5,22.5,24.2,33.7,23.9,24.2,24.2
BA,2,80,38.8,41.6,26,33.3,34.3,33.3,23.3,23.3,25.1,34,24,25.1,25.1
BA,2,85,39.1,41.8,26,34.2,35.2,34.2,23.9,23.9,25.9,34.1,24,25.9,25.9
BA,2,90,39.3,42,26.1,35,36.1,35,24.5,24.5,26.7,34.2,24,26.7,26.7
BA,2,95,39.5,42.1,26.1,35.7,36.8,35.7,25,25,27.4,34.2,24,27.4,27.4
BA,2,100,39.7,42.2,25.8,36.3,37.4,36.3,25.4,25.4,28.1,33.2,24,28.1,28.1
BA,2,105,39.8,42.2,25.5,36.8,37.9,36.8,25.8,25.8,28.8,32.2,24,28.8,28.8
BA,2,110,39.9,42.3,25.2,37.2,38.3,37.2,26,26,29.4,31.2,24,29.4,29.4
BA,2,115,40,42.4,24.9,37.5,38.6,37.5,26.3,26.3,30,30.2,23.5,30,30
BA,2,120,40.1,42.4,24.6,37.7,38.8,37.7,26.4,26.4,30.5,29.2,23,30.5,30.5
BA,2,125,40.2,42.5,24.3,37.8,38.9,37.8,26.5,26.5,31,28.2,22.5,31,31
BA,2,130,40.3,42.6,24,37.9,39,37.9,26.5,26.5,31.5,27.2,22,31.5,31.5
BA,2,135,40.4,42.6,23.7,37.9,39,37.9,26,26,31.9,26.2,21.5,31.9,31.9
BA,2,140,40.5,42.7,23.4,38,39.1,38,25.5,25.5,32.3,25.2,21,32.3,32.3
BA,2,145,40.6,42.7,23.1,38,39.1,38,24.9,24.9,32.7,24.2,20.5,32.7,32.7
BA,2,150,40.7,42.7,22.8,37.6,38.7,37.6,24.4,24.4,33,23.2,20,33,33
BA,2,155,40.8,42.7,22.5,37.2,38.3,37.2,23.9,23.9,33.3,22.2,19.5,33.3,33.3
BA,2,160,40.8,42.7,22.2,36.8,37.9,36.8,23.4,23.4,33.6,21.2,19,33.6,33.6
BA,2,165,40.9,42.7,21.9,36.4,37.5,36.4,22.8,22.8,33.8,20.2,18.5,33.8,33.8
BA,2,170,41,42.7,21.6,36,37.1,36,22.3,22.3,34,19.2,18,34,34
BA,2,175,41.1,42.7,21.3,35.6,36.7,35.6,21.8,21.8,34.2,18.2,17.5,34.2,34.2
BA,2,180,41.2,42.7,21,35.2,36.3,35.2,21.2,21.2,34.4,17.2,17,34.4,34.4
BA,2,185,41.3,42.7,20.7,34.8,35.8,34.8,20.7,20.7,34.6,16.2,16.5,34.6,34.6
BA,2,190,41.3,42.7,20.4,34.4,35.4,34.4,20.2,20.2,34.6,15.2,16,34.6,34.6
BA,2,195,41.3,42.7,20.1,34,35,34,19.6,19.6,34.6,14.2,15.5,34.6,34.6
BA,2,200,41.3,42.7,19.8,33.6,34.6,33.6,19.1,19.1,34.6,13.2,15,34.6,34.6
BA,2,205,41.3,42.7,19.5,33.2,34.2,33.2,18.6,18.6,34.6,12.2,14.5,34.6,34.6
BA,2,210,41.3,42.7,19.2,32.8,33.8,32.8,18.1,18.1,34.6,11.2,14,34.6,34.6
BA,2,215,41.3,42.7,18.9,32.4,33.4,32.4,17.5,17.5,34.6,10.2,13.5,34.6,34.6
BA,2,220,41.3,42.7,18.6,32,33,32,17,17,34.6,9.2,13,34.6,34.6
BA,2,225,41.3,42.7,18.3,31.6,32.5,31.6,16.5,16.5,34.6,8.2,12.5,34.6,34.6
BA,2,230,41.3,42.7,18,31.2,32.1,31.2,15.9,15.9,34.6,7.2,12,34.6,34.6
BA,2,235,41.3,42.7,17.7,30.8,31.7,30.8,15.4,15.4,34.6,6.2,11.5,34.6,34.6
BA,2,240,41.3,42.7,17.4,30.4,31.3,30.4,14.9,14.9,34.6,5.2,11,34.6,34.6
